po_name,sku,survey_type_days,nps,n_responses
Jan 18 Stock,AW,10,71.4,7
Jan 18 Stock,AW,40,66.7,6
Jan 18 Stock,CC,10,50.0,42
Jan 18 Stock,CC,40,40.7,27
Jan 18 Stock,CZ,10,30.8,39
Jan 18 Stock,CZ,40,50.0,26
Jan 18 Stock,DP,10,-100.0,1
Jan 18 Stock,DP,40,100.0,1
Jan 18 Stock,FC,10,100.0,2
Jan 18 Stock,FC,40,0.0,4
Jan 18 Stock,GH,10,0.0,32
Jan 18 Stock,GH,40,-11.1,9
Jan 18 Stock,HR,10,-13.6,44
Jan 18 Stock,HR,40,35.3,17
Jan 18 Stock,MM,10,7.7,13
Jan 18 Stock,MM,40,83.3,12
Jan 18 Stock,SD,10,27.6,29
Jan 18 Stock,SD,40,42.1,19
Jan 18 Stock,VM,10,13.3,15
Jan 18 Stock,VM,40,63.6,11
January Order - Product Society,DP,10,64.3,14
January Order - Product Society,DP,40,93.8,16
January Order - Product Society,MM,10,56.5,23
January Order - Product Society,MM,40,36.4,11
March Order - 6 Degrees,AW,10,51.5,33
March Order - 6 Degrees,AW,40,38.5,13
March Order - 6 Degrees,CC,10,47.4,19
March Order - 6 Degrees,CC,40,73.7,19
March Order - 6 Degrees,CZ,10,39.5,81
March Order - 6 Degrees,CZ,40,42.9,28
March Order - 6 Degrees,DP,10,50.0,22
March Order - 6 Degrees,DP,40,50.0,8
March Order - 6 Degrees,GH,10,23.3,43
March Order - 6 Degrees,GH,40,27.3,22
March Order - 6 Degrees,HR,10,30.0,10
March Order - 6 Degrees,HR,40,20.0,5
March Order - 6 Degrees,SD,10,45.5,11
March Order - 6 Degrees,SD,40,0.0,4
March Order - 6 Degrees,VM,10,45.0,20
March Order - 6 Degrees,VM,40,44.4,9
