date,sku,scent_name,rating,scent_strength,scent_appeal,cleaning_power,cap_pouring
2026-07-20,CZ,Signature Cozy,5.0,0.0,4.0,4.0,3.0
2026-07-20,CZ,1 Pack,1.0,,,,
2026-07-20,DP,Desert Poppy,5.0,0.0,5.0,5.0,5.0
2026-07-20,GH,Golden Hour,2.0,0.5,1.0,2.0,4.0
2026-07-20,GH,Golden Hour,2.0,-1.0,3.0,2.0,2.0
2026-07-20,MM,1 Pack,5.0,,,,
2026-07-20,CC,Central Coast,2.0,-1.0,3.0,4.0,4.0
2026-07-19,CC,Central Coast,5.0,0.0,4.0,3.0,4.0
2026-07-19,AW,1 Pack,5.0,,,,
2026-07-18,CZ,1 Pack,2.0,,,,
2026-07-18,CZ,Signature Cozy,3.0,-1.0,4.0,3.0,2.0
2026-07-18,SD,Sugar Dew,4.0,0.0,4.0,1.0,2.0
2026-07-18,CZ,Signature Cozy,5.0,0.0,3.0,2.0,3.0
2026-07-18,MM,Malibu Mornings,3.0,-0.5,2.0,2.0,2.0
2026-07-18,GH,Golden Hour,5.0,0.0,5.0,5.0,4.0
2026-07-17,CC,Central Coast,1.0,-1.0,4.0,3.0,1.0
2026-07-17,CZ,1 Pack,5.0,,,,
2026-07-17,CZ,Signature Cozy,5.0,0.0,5.0,5.0,5.0
2026-07-17,GH,Golden Hour,5.0,0.0,5.0,4.0,5.0
2026-07-17,GH,Golden Hour,3.0,-1.0,5.0,3.0,3.0
2026-07-17,MM,Malibu Mornings,5.0,0.0,5.0,5.0,5.0
2026-07-17,CC,Central Coast,5.0,0.0,5.0,5.0,5.0
2026-07-17,GH,Golden Hour,3.0,-0.5,3.0,3.0,3.0
2026-07-17,CZ,Signature Cozy,5.0,0.0,5.0,5.0,5.0
2026-07-16,FC,Free and Clear,5.0,0.0,3.0,3.0,3.0
2026-07-16,GH,Golden Hour,5.0,0.5,4.0,5.0,5.0
2026-07-16,CZ,Signature Cozy,3.0,-0.5,4.0,3.0,4.0
2026-07-16,CZ,1 Pack,5.0,,,,
2026-07-15,MM,Malibu Mornings,4.0,-0.5,3.0,4.0,5.0
2026-07-15,HR,Hollywood Rouge,5.0,0.0,5.0,5.0,5.0
2026-07-15,HR,Hollywood Rouge,3.0,0.0,3.0,3.0,3.0
2026-07-15,CZ,Signature Cozy,5.0,0.0,5.0,3.0,3.0
2026-07-15,GH,Golden Hour,5.0,0.0,5.0,5.0,5.0
2026-07-15,CZ,Signature Cozy,5.0,0.0,5.0,5.0,4.0
