week_start,sku,po_name,shipment_num
2026-01-18,AW,Jan 18 Stock,0
2026-01-25,AW,Jan 18 Stock,0
2026-02-01,AW,Jan 18 Stock,0
2026-02-08,AW,Jan 18 Stock,0
2026-02-15,AW,March Order - 6 Degrees,1
2026-02-22,AW,March Order - 6 Degrees,1
2026-03-01,AW,March Order - 6 Degrees,2
2026-03-08,AW,March Order - 6 Degrees,2
2026-03-15,AW,March Order - 6 Degrees,2
2026-03-22,AW,March Order - 6 Degrees,3
2026-03-29,AW,March Order - 6 Degrees,3
2026-04-05,AW,March Order - 6 Degrees,3
2026-04-12,AW,March Order - 6 Degrees,3
2026-04-19,AW,March Order - 6 Degrees,3
2026-04-26,AW,March Order - 6 Degrees,3
2026-05-03,AW,March Order - 6 Degrees,4
2026-05-10,AW,March Order - 6 Degrees,4
2026-05-17,AW,March Order - 6 Degrees,4
2026-05-24,AW,March Order - 6 Degrees,4
2026-05-31,AW,March Order - 6 Degrees,4
2026-06-07,AW,March Order - 6 Degrees,4
2026-06-14,AW,June Order - 6 Degrees,5
2026-06-21,AW,June Order - 6 Degrees,5
2026-06-28,AW,June Order - 6 Degrees,5
2026-07-05,AW,June Order - 6 Degrees,5
2026-01-18,CC,Jan 18 Stock,0
2026-01-25,CC,Jan 18 Stock,0
2026-02-01,CC,Jan 18 Stock,0
2026-02-08,CC,Jan 18 Stock,0
2026-02-15,CC,Jan 18 Stock,0
2026-02-22,CC,Jan 18 Stock,0
2026-03-01,CC,Jan 18 Stock,0
2026-03-08,CC,Jan 18 Stock,0
2026-03-15,CC,Jan 18 Stock,0
2026-03-22,CC,Jan 18 Stock,0
2026-03-29,CC,March Order - 6 Degrees,1
2026-04-05,CC,March Order - 6 Degrees,1
2026-04-12,CC,March Order - 6 Degrees,1
2026-04-19,CC,March Order - 6 Degrees,1
2026-04-26,CC,March Order - 6 Degrees,1
2026-05-03,CC,March Order - 6 Degrees,1
2026-05-10,CC,March Order - 6 Degrees,1
2026-05-17,CC,March Order - 6 Degrees,1
2026-05-24,CC,March Order - 6 Degrees,2
2026-05-31,CC,June Order - 6 Degrees,3
2026-06-07,CC,June Order - 6 Degrees,3
2026-06-14,CC,June Order - 6 Degrees,3
2026-06-21,CC,June Order - 6 Degrees,3
2026-06-28,CC,June Order - 6 Degrees,4
2026-07-05,CC,June Order - 6 Degrees,4
2026-01-18,CZ,Jan 18 Stock,0
2026-01-25,CZ,Jan 18 Stock,0
2026-02-01,CZ,Jan 18 Stock,0
2026-02-08,CZ,Jan 18 Stock,0
2026-02-15,CZ,Jan 18 Stock,0
2026-02-22,CZ,March Order - 6 Degrees,1
2026-03-01,CZ,March Order - 6 Degrees,1
2026-03-08,CZ,March Order - 6 Degrees,1
2026-03-15,CZ,March Order - 6 Degrees,2
2026-03-22,CZ,March Order - 6 Degrees,2
2026-03-29,CZ,March Order - 6 Degrees,2
2026-04-05,CZ,March Order - 6 Degrees,2
2026-04-12,CZ,March Order - 6 Degrees,2
2026-04-19,CZ,March Order - 6 Degrees,3
2026-04-26,CZ,March Order - 6 Degrees,3
2026-05-03,CZ,March Order - 6 Degrees,4
2026-05-10,CZ,March Order - 6 Degrees,4
2026-05-17,CZ,March Order - 6 Degrees,4
2026-05-24,CZ,March Order - 6 Degrees,4
2026-05-31,CZ,June Order - 6 Degrees,5
2026-06-07,CZ,June Order - 6 Degrees,5
2026-06-14,CZ,June Order - 6 Degrees,5
2026-06-21,CZ,June Order - 6 Degrees,6
2026-06-28,CZ,June Order - 6 Degrees,6
2026-07-05,CZ,June Order - 6 Degrees,6
2026-01-18,DP,Jan 18 Stock,0
2026-01-25,DP,January Order - Product Society,1
2026-02-01,DP,January Order - Product Society,1
2026-02-08,DP,January Order - Product Society,1
2026-02-15,DP,January Order - Product Society,2
2026-02-22,DP,January Order - Product Society,2
2026-03-01,DP,January Order - Product Society,2
2026-03-08,DP,January Order - Product Society,2
2026-03-15,DP,March Order - 6 Degrees,3
2026-03-22,DP,March Order - 6 Degrees,3
2026-03-29,DP,March Order - 6 Degrees,3
2026-04-05,DP,March Order - 6 Degrees,3
2026-04-12,DP,March Order - 6 Degrees,3
2026-04-19,DP,March Order - 6 Degrees,3
2026-04-26,DP,March Order - 6 Degrees,3
2026-05-03,DP,March Order - 6 Degrees,3
2026-05-10,DP,March Order - 6 Degrees,3
2026-05-17,DP,March Order - 6 Degrees,3
2026-05-24,DP,March Order - 6 Degrees,3
2026-05-31,DP,March Order - 6 Degrees,3
2026-06-07,DP,March Order - 6 Degrees,3
2026-06-14,DP,March Order - 6 Degrees,3
2026-06-21,DP,March Order - 6 Degrees,3
2026-06-28,DP,March Order - 6 Degrees,4
2026-07-05,DP,March Order - 6 Degrees,4
2026-01-18,FC,Jan 18 Stock,0
2026-01-25,FC,Jan 18 Stock,0
2026-02-01,FC,Jan 18 Stock,0
2026-02-08,FC,Jan 18 Stock,0
2026-02-15,FC,Jan 18 Stock,0
2026-02-22,FC,Jan 18 Stock,0
2026-03-01,FC,Jan 18 Stock,0
2026-03-08,FC,Jan 18 Stock,0
2026-03-15,FC,Jan 18 Stock,0
2026-03-22,FC,Jan 18 Stock,0
